epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_stenosis_recall,val_log_loss
1,0.5929730909531106,0.7122946009389671,0.6829196198958791,0.587117685386151,1.4443309519773735,0.8850889192886456,0.5357210955104871,0.5362410785091197,0.07222222222222222,0.4275063866097504
2,0.5054799362387455,0.7717136150234741,0.7639167659787995,0.6545033325128393,0.5621288469017938,0.8652530779753762,0.7058805685560756,0.6986907283902184,0.49444444444444446,0.2811416902786025
3,0.456695921544178,0.7922535211267606,0.7851659035313303,0.6769567909036187,0.41920747246119294,0.8399452804377565,0.8108381001906744,0.7229769123134329,0.7722222222222223,0.3228545897024378
4,0.4390613165959506,0.8113262910798122,0.8064754235866465,0.6991525010698247,0.407078631578979,0.7920656634746922,0.8193534408042988,0.6858900422914264,0.8555555555555555,0.4183365647699847
5,0.41764619932488095,0.8204225352112676,0.8101731429731853,0.7079363959111297,0.5290665391771436,0.8618331053351573,0.7612367828046456,0.7235539479990414,0.6277777777777778,0.29694014934734747
6,0.41971366716102815,0.8396420187793427,0.8192662924167347,0.7279788741931577,0.3681375098945993,0.7913816689466484,0.8332899982665973,0.6896668116572423,0.8888888888888888,0.4322057383854412
7,0.40764206458984964,0.8513791079812206,0.8314801166656214,0.743105679301562,0.4306580591641071,0.8673050615595075,0.8049488646212515,0.747072357274073,0.7222222222222222,0.283045926127723
8,0.38705364034069534,0.846537558685446,0.8377156118672772,0.7405849117567438,0.39946095302965995,0.8009575923392613,0.8124848327266423,0.690658503688246,0.8277777777777777,0.3987024439792434
9,0.37680925516315467,0.8590082159624414,0.843754285899281,0.7545099894322201,0.3434460043560627,0.8071135430916553,0.8398725949037962,0.704328743545611,0.8833333333333333,0.4110308429490773
10,0.3673897368807188,0.866637323943662,0.8487086809257982,0.7639971094926867,0.36205479881322333,0.8522571819425444,0.834572716241983,0.7426995880481827,0.8111111111111111,0.32211484263587475
