epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_stenosis_recall,val_log_loss
1,0.6378215577020202,0.6386627906976744,0.6388596715137097,0.5840479097055787,0.573624134487307,0.6565143824027073,0.7018031189083821,0.6230879188199997,0.7851851851851852,0.6116985359529807
2,0.5624003458161687,0.7179505813953488,0.7207945462812291,0.6629373567106671,0.5105622591706097,0.7648054145516074,0.7605068226120857,0.7141445967834317,0.7525925925925926,0.4936074305281686
3,0.5239393547523853,0.7508720930232559,0.7483351838649229,0.6946117555589861,0.4994507013591615,0.7526226734348562,0.7656481481481482,0.7077408777981944,0.7896296296296297,0.5023167015663618
4,0.49868061750434167,0.7541424418604651,0.754405397200194,0.6991945257452501,0.485779271750079,0.7976311336717428,0.7723927875243666,0.7414984078166198,0.725925925925926,0.43122303124097494
5,0.48240542695965877,0.7713662790697674,0.7727004457071616,0.7176001208275182,0.469738668712666,0.7505922165820643,0.7768469785575048,0.7101325146152596,0.8251851851851851,0.4737619829452642
6,0.4719202808862509,0.7738372093023256,0.7773980248771759,0.7211318370048972,0.477667356288776,0.8067681895093063,0.7730994152046784,0.748323041104231,0.7111111111111111,0.40636158230538816
7,0.4609494183645692,0.7848110465116279,0.7853905538586814,0.7316805604260636,0.5896825981422528,0.8324873096446701,0.7099853801169591,0.7326104231344426,0.48444444444444446,0.370371546629387
8,0.45146538906319195,0.7935319767441861,0.7885326812005035,0.7393195174976857,0.47828674145458916,0.8064297800338409,0.7676656920077973,0.7458170019561561,0.6962962962962963,0.3993235750948507
9,0.4202462952843932,0.8058139534883721,0.8053149229443859,0.7543113287483394,0.44674647792341743,0.7935702199661591,0.7854044834307992,0.7435552710200597,0.7703703703703704,0.41660880102684494
10,0.40973653724027237,0.8168604651162791,0.8159890604364137,0.7664251890904332,0.46462349050036944,0.766497461928934,0.7855896686159844,0.7242193552715296,0.8207407407407408,0.4956501490935269
