epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_stenosis_recall,val_log_loss
1,0.5027484177123933,0.7491071428571429,0.748515625,0.7200496402686604,0.5059940164135691,0.7496518105849582,0.8057841872552044,0.7396469608512479,0.9419431279620853,0.651132159524207
2,0.3973710254366909,0.8210565476190477,0.8216008773506516,0.7959181495856598,0.406095925147819,0.8022284122562674,0.8229525972872673,0.7842053769807569,0.8732227488151659,0.4592054419711511
3,0.3792256464206037,0.8327380952380953,0.8348697916666667,0.8089555089733076,0.41885242681732415,0.7987465181058496,0.8287879637679127,0.783072500130678,0.9016587677725119,0.47888115474816306
4,0.3717915644957906,0.8328125,0.83515625,0.809097704583545,0.4092552820869143,0.817200557103064,0.8276744066481581,0.7969493928883807,0.8530805687203792,0.4225376542476916
5,0.3601588459951537,0.8332589285714286,0.836796875,0.8099252463031128,0.39350425591043775,0.8213788300835655,0.828557774100975,0.8004048703110413,0.8459715639810427,0.38976003910429396
6,0.3530769108129399,0.8396577380952381,0.8436197916666667,0.8169358311204726,0.45075277303420735,0.8433147632311978,0.8171125569047553,0.8133956618389797,0.7535545023696683,0.3582850062261701
7,0.3488144709595612,0.8391369047619047,0.8437918588568487,0.8165494038673844,0.41920602257288264,0.841225626740947,0.8235882479411463,0.8140461579092346,0.7808056872037915,0.36206504177534443
8,0.34495052081488425,0.8414434523809524,0.8453281096799009,0.8188225488695169,0.41220859114423103,0.8408774373259053,0.8261086495227946,0.814613444432156,0.7902843601895735,0.37927245610827554
9,0.3180288873612881,0.859375,0.8629687500000001,0.8382408189807424,0.3894390579634722,0.8168523676880223,0.8301948082298064,0.7973961292246916,0.8625592417061612,0.4169600727456592
10,0.3091894452238367,0.8600446428571429,0.8635937499999999,0.8389612560719322,0.3742541790133067,0.8178969359331476,0.8330096656290604,0.7989813740837232,0.8696682464454977,0.3816560972607941
