threshold,precision,recall,f1,balanced_accuracy,score
0.1,0.34417344173441733,0.9407407407407408,0.503968253968254,0.7050194931773879,1.2429876775271513
0.11,0.3491189427312775,0.9392592592592592,0.5090325170614212,0.7104191033138402,1.2441221643530744
0.12,0.35202665186007775,0.9392592592592592,0.5121163166397416,0.7137085769980507,1.2457154826687074
0.13,0.35625704622322435,0.9362962962962963,0.5161290322580645,0.7177095516569201,1.2447559422750425
0.13999999999999999,0.35906232132647226,0.9303703703703704,0.5181518151815182,0.7193518518518518,1.2397462871287128
0.14999999999999997,0.3626309662398137,0.922962962962963,0.520685332218972,0.721349902534113,1.2334717716512342
0.15999999999999998,0.36717827626918537,0.9214814814814815,0.5251160827353314,0.7256530214424951,1.2341737575259382
0.16999999999999998,0.36776119402985075,0.9125925925925926,0.5242553191489362,0.7240594541910332,1.224671285927585
0.17999999999999997,0.37129012719563903,0.9081481481481481,0.5270851246775581,0.7264424951267057,1.2215300530992141
0.18999999999999995,0.373243738546121,0.9051851851851852,0.5285467128027682,0.7275925925925926,1.2192200115340253
0.19999999999999996,0.37639060568603216,0.9022222222222223,0.5311818578281727,0.7298391812865497,1.2174774820009029
0.20999999999999996,0.37881619937694705,0.9007407407407407,0.5333333333333333,0.7317300194931774,1.2170065789473685
0.21999999999999995,0.3818525519848771,0.8977777777777778,0.5358090185676393,0.7337573099415204,1.2151693599050677
0.22999999999999995,0.38295165394402036,0.8918518518518519,0.5358255451713395,0.733206627680312,1.2091098950647647
0.23999999999999994,0.38624678663239076,0.8903703703703704,0.5387718511878081,0.7357553606237817,1.2090021733232679
0.24999999999999992,0.3878474466709761,0.8888888888888888,0.54005400540054,0.7367690058479532,1.208094641701012
0.2599999999999999,0.38921377517868744,0.8874074074074074,0.5411020776874436,0.7375633528265108,1.207073765035896
0.2699999999999999,0.3925294888597641,0.8874074074074074,0.5442980463425715,0.7404142300194931,1.2085854764979236
0.2799999999999999,0.3952412425644415,0.8859259259259259,0.546617915904936,0.7423050682261209,1.20815667195869
0.2899999999999999,0.39706862091938705,0.882962962962963,0.5477941176470589,0.7430165692007797,1.2056656346749226
0.29999999999999993,0.39986559139784944,0.8814814814814815,0.5501618122977346,0.7449074074074074,1.205248786407767
0.30999999999999994,0.40217391304347827,0.8770370370370371,0.5514671634839311,0.7455360623781677,1.2012878435025618
0.3199999999999999,0.4032809295967191,0.8740740740740741,0.5519176800748363,0.7455896686159844,1.1984509112467794
0.32999999999999985,0.40592694693314957,0.8725925925925926,0.5540921919096896,0.7472612085769981,1.1979309427142646
0.33999999999999986,0.40817740817740816,0.8725925925925926,0.5561850802644004,0.7490155945419104,1.1988927612941702
0.34999999999999987,0.41304347826086957,0.8725925925925926,0.5606853879105188,0.7527436647173489,1.2009498557495597
0.3599999999999999,0.4144271570014144,0.8681481481481481,0.5610339875538535,0.752495126705653,1.1965304267130248
0.3699999999999999,0.4172610556348074,0.8666666666666667,0.5633124699085219,0.7541666666666667,1.1960364508104637
0.3799999999999999,0.4205607476635514,0.8666666666666667,0.5663117134559535,0.756578947368421,1.1973893318727604
0.3899999999999999,0.424,0.8637037037037038,0.568780487804878,0.758167641325536,1.1954407359863073
0.3999999999999998,0.4260485651214128,0.8577777777777778,0.5693215339233039,0.7578362573099415,1.1895672255860892
0.4099999999999998,0.4280415430267062,0.8548148148148148,0.5704399406821552,0.7583284600389864,1.1870069149951001
0.4199999999999998,0.4294249439880508,0.8518518518518519,0.5710029791459782,0.758382066276803,1.1841981132075472
0.4299999999999998,0.43257575757575756,0.845925925925926,0.5724310776942356,0.7587085769980507,1.1787108395989976
0.43999999999999984,0.4350152905198777,0.8429629629629629,0.5738779626828038,0.7594200779727096,1.1762874731268411
0.44999999999999984,0.43706563706563706,0.8385185185185186,0.5746192893401015,0.7593908382066277,1.1720210504052009
0.45999999999999985,0.4375484871993794,0.8355555555555556,0.5743380855397149,0.7587865497076023,1.168836714367385
0.46999999999999986,0.4405320813771518,0.8340740740740741,0.5765488991295443,0.760238791423002,1.1682709967122107
0.47999999999999976,0.44277821625887925,0.8311111111111111,0.5777548918640577,0.7607309941520468,1.1657325826151372
0.48999999999999977,0.44621513944223107,0.8296296296296296,0.5803108808290155,0.7624025341130605,1.1653079833651485
0.4999999999999998,0.45044319097502017,0.8281481481481482,0.5835073068893528,0.7645126705653021,1.1651531425118118
0.5099999999999998,0.45101214574898785,0.8251851851851851,0.5832460732984294,0.7639083820662768,1.1619737990263617
0.5199999999999998,0.4535073409461664,0.8237037037037037,0.5849552866912151,0.7649220272904483,1.1611730321991196
0.5299999999999998,0.45867768595041325,0.8222222222222222,0.5888594164456233,0.7674707602339181,1.1613047663921074
0.5399999999999998,0.4619883040935672,0.8192592592592592,0.5908119658119658,0.7684015594541911,1.1590626405757984
0.5499999999999998,0.4625735912531539,0.8148148148148148,0.5901287553648069,0.7672758284600389,1.1541659607710262
0.5599999999999997,0.46486028789161726,0.8133333333333334,0.5915948275862069,0.7680701754385966,1.1532495840895343
0.5699999999999997,0.467409948542024,0.8074074074074075,0.5920695274307441,0.7675194931773879,1.1473046625594405
0.5799999999999997,0.4722222222222222,0.8059259259259259,0.595511767925561,0.7696296296296297,1.1472112753147237
0.5899999999999997,0.4738219895287958,0.8044444444444444,0.5963756177924218,0.769985380116959,1.1460346939217896
0.5999999999999998,0.4783759929390997,0.802962962962963,0.5995575221238938,0.7718762183235868,1.145821398074833
0.6099999999999998,0.48168007149240394,0.7985185185185185,0.600891861761427,0.7720662768031189,1.141758053159655
0.6199999999999998,0.48514851485148514,0.7985185185185185,0.6035834266517357,0.7738206627680312,1.1428695408734602
0.6299999999999997,0.48854262144821264,0.7896296296296297,0.6036240090600227,0.7724463937621833,1.1336472303351812
0.6399999999999997,0.493953488372093,0.7866666666666666,0.6068571428571429,0.7740350877192983,1.1318897243107768
0.6499999999999997,0.4948453608247423,0.7822222222222223,0.6061997703788748,0.7729093567251462,1.1269995039982277
0.6599999999999997,0.49809885931558934,0.7762962962962963,0.6068326577880718,0.7723586744639376,1.1210941293592986
0.6699999999999997,0.5014436958614052,0.7718518518518519,0.6079346557759626,0.7723294346978558,1.1169178744703065
0.6799999999999997,0.50682261208577,0.7703703703703704,0.6114050558495003,0.7742202729044834,1.1167767025588664
0.6899999999999997,0.5098814229249012,0.7644444444444445,0.6117368109069354,0.7734502923976608,1.1107412202705935
0.6999999999999996,0.5099403578528827,0.76,0.6103509815585961,0.7718859649122807,1.1055592366177192
0.7099999999999996,0.5115810674723061,0.7525925925925926,0.6091127098321343,0.7699366471734892,1.0973549318439986
0.7199999999999996,0.5148110316649642,0.7466666666666667,0.6094316807738815,0.7691666666666667,1.0913162535268037
0.7299999999999996,0.5213319458896982,0.7422222222222222,0.6124694376528117,0.770233918128655,1.0878980611675888
0.7399999999999997,0.5248152059134108,0.7362962962962963,0.6128236744759556,0.7694639376218324,1.0818681993207433
0.7499999999999997,0.5279569892473118,0.7274074074074074,0.6118380062305296,0.7674317738791423,1.0722248524348252
0.7599999999999997,0.538037486218302,0.7229629629629629,0.6169405815423514,0.7695955165692008,1.0695969874908509
0.7699999999999997,0.5406320541760722,0.7096296296296296,0.6137091607943626,0.7655604288499025,1.054447027040696
0.7799999999999997,0.5462962962962963,0.6992592592592592,0.6133853151397011,0.7636647173489279,1.0435217673814166
0.7899999999999996,0.5578069129916567,0.6933333333333334,0.618229854689564,0.7653070175438597,1.0392175513916893
0.7999999999999996,0.5705521472392638,0.6888888888888889,0.6241610738255033,0.7676900584795321,1.0368516719651477
0.8099999999999996,0.575187969924812,0.68,0.6232179226069247,0.7656578947368422,1.0272189543359418
0.8199999999999996,0.5819354838709677,0.6681481481481482,0.6220689655172413,0.7630214424951267,1.0144207501512401
0.8299999999999996,0.5882352941176471,0.6518518518518519,0.6184118060435699,0.7583820662768032,0.9960503199319451
0.8399999999999996,0.6008344923504868,0.64,0.6197991391678622,0.7570614035087719,0.9842151356691585
0.8499999999999996,0.6121562952243126,0.6266666666666667,0.6193265007320644,0.754561403508772,0.9701386427268758
0.8599999999999995,0.6186186186186187,0.6103703703703703,0.6144668158090977,0.7494834307992202,0.9513579320224499
0.8699999999999996,0.626984126984127,0.5851851851851851,0.6053639846743295,0.7410575048732944,0.9217905575720912
0.8799999999999996,0.6366666666666667,0.5659259259259259,0.5992156862745098,0.7351559454191033,0.8995188338493292
0.8899999999999996,0.6577060931899642,0.5437037037037037,0.5952960259529603,0.7299658869395711,0.8750191819268366
0.8999999999999996,0.6724137931034483,0.52,0.5864661654135338,0.7225,0.8472415413533835
