epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_stenosis_precision,val_stenosis_recall,val_recall_f1,val_log_loss,val_checkpoint_score,val_early_stop_score
1,0.5485092095086272,0.7155223004694836,0.7207810637897509,0.6028026343332172,0.4494607257675864,0.7954856361149111,0.7759360374414976,0.67377639468804,0.34704370179948585,0.75,0.47451669595782076,0.3919000942294819,0.6322465864555943,0.7248562160647688
2,0.4511787007812043,0.7906396713615024,0.7902457191243806,0.6775107775945395,0.5559243116165968,0.8611491108071135,0.7011527127751777,0.69230785180731,0.44221105527638194,0.4888888888888889,0.46437994722955145,0.27630993814459237,0.5193211878070947,0.6967302822912438
3,0.420859114524904,0.8196889671361502,0.8138595308285768,0.708722070967193,0.4382822341686968,0.8378932968536251,0.7977292425030335,0.7163593498663632,0.4123076923076923,0.7444444444444445,0.5306930693069307,0.3308777357404868,0.6577623163012329,0.7570442961846984
4,0.37260742590460977,0.849618544600939,0.8398888094250052,0.7440853529414415,0.43694792200700366,0.7332421340629275,0.8120774830993239,0.6406911675741077,0.3055555555555556,0.9166666666666666,0.4583333333333333,0.5972055895944334,0.697137718842087,0.7263843253367158
5,0.351377332434408,0.8594483568075117,0.8526014551840934,0.7579292412155795,0.5639951720568779,0.8837209302325582,0.7784928063789218,0.753823296354992,0.5227272727272727,0.6388888888888888,0.575,0.2778191380997753,0.6360268441040672,0.7661580513669569
6,0.3436766437696459,0.8769072769953051,0.8640058038066143,0.7795952865979612,0.4251356717458991,0.8372093023255814,0.8140535621424857,0.7216530142070907,0.4147058823529412,0.7833333333333333,0.5423076923076923,0.3940435962700298,0.6803069416894323,0.7678532881747882
7,0.31849791438366887,0.8902582159624414,0.8707191243806058,0.7968370715854953,0.4444807459346736,0.8686730506155951,0.820055468885422,0.7540790580319596,0.4788732394366197,0.7555555555555555,0.5862068965517241,0.3318404297121678,0.6899827089084859,0.7870672634586908
8,0.3035090339540596,0.8909917840375586,0.8761407827886847,0.7993022503857683,0.5549443136676433,0.8837209302325582,0.7665539954931531,0.7485074777892458,0.5238095238095238,0.6111111111111112,0.5641025641025641,0.2631709128754324,0.6193669651547967,0.7575307366411994
9,0.27983443342813863,0.8977406103286385,0.8844321422580104,0.8096355410205134,0.48471815943228724,0.884404924760602,0.8170870168140059,0.7700494098091826,0.5219123505976095,0.7277777777777777,0.6078886310904872,0.2975958328966902,0.6890863388608194,0.7935682133115942
10,0.2712145829704446,0.9096244131455399,0.9003010725710343,0.8290133158186921,0.47052908512456637,0.8618331053351573,0.8113797885248744,0.7439490887651945,0.46206896551724136,0.7444444444444445,0.5702127659574469,0.34071536980232675,0.6773244618217109,0.7776644386450344
11,0.2362734220327346,0.9131455399061033,0.9068164711785737,0.8352982090071293,0.6622364389290969,0.8946648426812586,0.7727942451031375,0.763921568627451,0.5670103092783505,0.6111111111111112,0.5882352941176471,0.2974258603762224,0.6321749126282012,0.7683579068652943
12,0.22420015795147616,0.9225352112676056,0.9136862572916014,0.849749502344658,0.7197226392036423,0.8919288645690835,0.7569076096377187,0.7532695027279679,0.5591397849462365,0.5777777777777777,0.5683060109289617,0.2931398461465649,0.608898414811967,0.7550885561828433
13,0.21319498838813092,0.9237089201877934,0.9138571786991156,0.8514369162697937,0.6782935669508071,0.887140902872777,0.7685040734962731,0.7532211781916389,0.5365853658536586,0.6111111111111112,0.5714285714285714,0.31539700573752516,0.6232323671576364,0.760862625843956
14,0.2212932917591132,0.9276701877934272,0.9221249137552532,0.8589821135401365,0.6526473449025859,0.8816689466484268,0.7629961865141273,0.7446231483547607,0.5165876777251185,0.6055555555555555,0.5575447570332481,0.3270127288834709,0.613743654407534,0.753809667434444
15,0.19489473602056784,0.9325117370892019,0.9213918334065108,0.8658924251393532,0.7414228045642783,0.896032831737346,0.7687987519500781,0.7637443015581411,0.574468085106383,0.6,0.5869565217391305,0.3305722231250573,0.6272935154223931,0.7662715267541096
16,0.18390669964446288,0.9360328638497653,0.9329094273348806,0.8736154274969937,0.7393245340341501,0.8939808481532148,0.7724042295025135,0.7629292533019485,0.5641025641025641,0.6111111111111112,0.5866666666666667,0.34234533590391025,0.6313355467552035,0.767666741402231
17,0.1807999877880017,0.9376467136150235,0.932292945078684,0.8758410080846071,0.7099324910686174,0.8905608755129959,0.7680663893222395,0.756937950182255,0.5505050505050505,0.6055555555555555,0.5767195767195767,0.33317691602885036,0.6239018781530481,0.7625021697522472
18,0.17349113516527023,0.9411678403755869,0.9308434736247884,0.8810809216270342,0.8668685316805067,0.8980848153214774,0.7556422256890276,0.7599747896289293,0.5895953757225434,0.5666666666666667,0.5779036827195467,0.33913491722234335,0.6101257541925906,0.7578085076589784
19,0.16783694762893966,0.9438086854460094,0.9333112600323152,0.8856462755932433,0.9062645812321418,0.8987688098495212,0.7536444791124979,0.7598223998223999,0.5941176470588235,0.5611111111111111,0.5771428571428572,0.3470091457617696,0.6077279621156836,0.7567334394674489
