epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_severe_precision,val_severe_recall,val_severe_f1,val_pathological_precision,val_pathological_recall,val_pathological_f1,val_log_loss,val_checkpoint_score,val_early_stop_score
1,0.9890018648384882,0.590962441314554,0.4570042803341174,0.36347522124283227,0.8058495185606783,0.7127222982216143,0.5681103434613575,0.449742418859929,0.19796954314720813,0.6190476190476191,0.3,0.31019522776572667,0.7944444444444444,0.44617784711388453,0.678499131567817,0.49523721913092394,0.5089263811606433
2,0.8354814915869717,0.7090669014084507,0.5955862247562469,0.46633515027448635,0.7528209584763862,0.7161422708618331,0.5829433177327094,0.48051625970053635,0.28,0.5555555555555556,0.3723404255319149,0.3177966101694915,0.8333333333333334,0.4601226993865031,0.6017145932312741,0.5002214663140723,0.5317297887166228
3,0.783492300851804,0.7431044600938967,0.6201900033962814,0.5003757294895378,0.7674172956868497,0.7435020519835841,0.5746896542528368,0.5023583197929912,0.38181818181818183,0.3333333333333333,0.3559322033898305,0.3348729792147806,0.8055555555555556,0.4730831973898858,0.5294866963964014,0.42105931232328986,0.5385239870229139
4,0.7297245825120541,0.7470657276995305,0.6667705079710645,0.5236637740637886,0.7613672860140024,0.7667578659370725,0.5906521975164721,0.4801816825533302,0.23626373626373626,0.6825396825396826,0.3510204081632653,0.37066666666666664,0.7722222222222223,0.5009009009009009,0.5054210676828728,0.5408107669436657,0.5354169400349011
5,0.6808796591462104,0.7709800469483568,0.6961026107028655,0.5528466849728383,0.7854187647555987,0.7674418604651163,0.5874981030987271,0.49594330226257793,0.24031007751937986,0.49206349206349204,0.3229166666666667,0.379746835443038,0.8333333333333334,0.5217391304347826,0.49911224743651067,0.4696396699611498,0.5417207026806525
6,0.6456952678485656,0.7935739436619719,0.7288462450443985,0.5866685948743269,0.8125164404654144,0.7701778385772914,0.5863901222715575,0.5131550778182487,0.32558139534883723,0.4444444444444444,0.37583892617449666,0.37371134020618557,0.8055555555555556,0.5105633802816901,0.5051728117890352,0.46942432711714094,0.549772600044903
7,0.5498933084134204,0.8163145539906104,0.770528294972315,0.623960448180696,0.8509144794843102,0.7523939808481532,0.6138178860487753,0.49946679093872204,0.2781456953642384,0.6666666666666666,0.3925233644859813,0.35336538461538464,0.8166666666666667,0.49328859060402686,0.571641678028382,0.5541211098523281,0.5566423384937487
8,0.5266965436683574,0.823650234741784,0.7909481585812274,0.6410973566776559,0.9121405019561178,0.7852257181942545,0.5895213586321231,0.5196138177520272,0.3181818181818182,0.4444444444444444,0.3708609271523179,0.3939393939393939,0.7944444444444444,0.5267034990791897,0.5019040551660183,0.47009782262046507,0.5545675881920751
9,0.5244035215724802,0.8320129107981221,0.7810418341810941,0.6450640589275646,0.9493844298143883,0.813953488372093,0.5850548307646591,0.5477569697722301,0.43548387096774194,0.42857142857142855,0.432,0.42524916943521596,0.7111111111111111,0.5322245322245323,0.42876602125984037,0.48456236010737785,0.5664059002684446
10,0.5175212883683438,0.8480046948356808,0.7939076538600678,0.6663771851691943,1.0293731547678056,0.8543091655266758,0.5911585669775997,0.5422816798993543,0.3135593220338983,0.5873015873015873,0.4088397790055249,0.5429864253393665,0.6666666666666666,0.5985037406483791,0.38131137204358434,0.5344535496823276,0.566720123438477
11,0.4569520223448534,0.8525528169014085,0.8151813631767711,0.6810431455669058,1.0331105912759104,0.8406292749658003,0.6121422634683166,0.5635800433718375,0.3763440860215054,0.5555555555555556,0.44871794871794873,0.48846153846153845,0.7055555555555556,0.5772727272727273,0.415509016859135,0.5417683929919624,0.587861153420077
12,0.4635564713900638,0.8487382629107981,0.8115231567125925,0.6740441404240457,1.0417608423859248,0.8173734610123119,0.5887968852087416,0.5473304857892908,0.4057971014492754,0.4444444444444444,0.42424242424242425,0.43434343434343436,0.7166666666666667,0.5408805031446541,0.4473431329896421,0.48884163581576806,0.5680636854990162
13,0.44980576254882165,0.8571009389671361,0.8276545842302877,0.690900473650817,1.0252966706305946,0.8166894664842681,0.5858008923531545,0.5430968757964468,0.3918918918918919,0.4603174603174603,0.4233576642335766,0.4358108108108108,0.7166666666666667,0.542016806722689,0.4540546897722262,0.4927300807994255,0.5644488840748006
14,0.4203334720061978,0.8613556338028169,0.8304497426907126,0.6985630055274599,1.1647333048039439,0.8549931600547196,0.5898585149755197,0.5594416283169802,0.35714285714285715,0.47619047619047616,0.40816326530612246,0.5391304347826087,0.6888888888888889,0.6048780487804878,0.40551862089206153,0.4985675116516972,0.5746500716462499
15,0.4149200930281984,0.8679577464788732,0.8361484149898315,0.7061031148861789,1.1447631081441358,0.841313269493844,0.5901302718775417,0.5574526709850259,0.3888888888888889,0.4444444444444444,0.4148148148148148,0.49416342412451364,0.7055555555555556,0.5812356979405034,0.422964135542045,0.4887758478317728,0.5737914714312838
16,0.41446259869656094,0.8723591549295775,0.8326054954229537,0.7120634761248765,1.059897340253179,0.8214774281805746,0.595387942501827,0.5484883158392774,0.3815789473684211,0.4603174603174603,0.4172661870503597,0.4511784511784512,0.7444444444444445,0.5618448637316562,0.4692448117820272,0.4942029095419219,0.5719381291705522
17,0.40548145235844063,0.875,0.8420265157229211,0.7180418446064866,1.0711944233498722,0.8194254445964432,0.5944609212939946,0.5473526605992326,0.38461538461538464,0.47619047619047616,0.425531914893617,0.4444444444444444,0.7333333333333333,0.5534591194968553,0.46893667258818056,0.5014123617687164,0.5709067909466137
