epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_severe_precision,val_severe_recall,val_severe_f1,val_pathological_precision,val_pathological_recall,val_pathological_f1,val_log_loss,val_checkpoint_score,val_early_stop_score
1,0.8047832853737331,0.6569196428571429,0.6167658371185339,0.5512310825143403,0.7126739031757153,0.7204038997214485,0.68062128283175,0.6307928987407815,0.4948186528497409,0.6970802919708029,0.5787878787878787,0.6036184210526315,0.8696682464454977,0.7126213592233009,0.6449180147090292,0.6509579082012571,0.6557070907862658
2,0.6794651470723606,0.7300595238095238,0.6867160637265682,0.6411889673191329,0.6969014087427293,0.7141364902506964,0.6902954866975671,0.6259179660842833,0.4696629213483146,0.7627737226277372,0.5813630041724618,0.5985634477254589,0.8886255924170616,0.7153075822603719,0.655774817606035,0.6755542445191935,0.6581067263909253
3,0.6255985554485094,0.7566964285714286,0.7231990134546766,0.676712287022054,0.7021200087409165,0.7113509749303621,0.6954828583718328,0.6347075487339294,0.5,0.7153284671532847,0.5885885885885885,0.5854214123006833,0.9135071090047393,0.7135585377140213,0.6618934890953788,0.6635501920719491,0.6650952035528811
4,0.579775247119722,0.7608630952380953,0.7437820090876902,0.6932604409963964,0.722647610481071,0.7110027855153204,0.6898617460306635,0.6286662222762402,0.4880382775119617,0.7445255474452555,0.5895953757225434,0.5899450117831894,0.8898104265402843,0.7094945677846008,0.6515005990631358,0.6716883791978561,0.6592639841534519
5,0.5324707011736575,0.7805803571428571,0.7698599829941294,0.7180576139505866,0.7729344349717695,0.7016016713091922,0.678261099631412,0.6270667218577946,0.5248618784530387,0.6934306569343066,0.5974842767295597,0.5742879137798307,0.8838862559241706,0.6962202519832011,0.6419727053325607,0.6531373634072386,0.6526639107446033
6,0.49782675983650343,0.7927827380952381,0.7934630228922872,0.7385980367960979,0.8280039657125234,0.7029944289693594,0.6782890221998943,0.619059830210627,0.4692874692874693,0.6970802919708029,0.5609397944199707,0.5803228285933897,0.8945497630331753,0.703962703962704,0.7124125583944341,0.6436828212768779,0.6486744262052606
7,0.4297886845433996,0.8223214285714285,0.8284451208272028,0.7757409210535339,0.8789678041649396,0.7057799442896936,0.6789810371535601,0.6187542090791512,0.46588235294117647,0.7226277372262774,0.5665236051502146,0.5858267716535434,0.8815165876777251,0.7038789025543992,0.7147604445697306,0.6540976585632929,0.6488676231163557
8,0.40932455749383995,0.8194940476190476,0.8342817355875938,0.7776348144884754,0.9850996384049524,0.7437325905292479,0.669333316157986,0.6394276154239146,0.5208333333333334,0.6386861313868614,0.5737704918032787,0.6442396313364055,0.8281990521327014,0.7247278382581649,0.6463139818129865,0.6287349552526013,0.6543804657909502
9,0.3844179855393512,0.8328125,0.8456954629109373,0.7911125726424452,1.0532256779896516,0.7493036211699164,0.6559912537069073,0.6280276104764163,0.4904109589041096,0.6532846715328468,0.5602503912363067,0.6713709677419355,0.7890995260663507,0.7254901960784313,0.6580461167742655,0.6255160056822378,0.6420094320916618
10,0.3766476541402794,0.8393601190476191,0.8514422723011791,0.7963192343206827,1.1299596324272474,0.7447771587743732,0.6553005900489574,0.6353386675003377,0.5360824742268041,0.5693430656934306,0.552212389380531,0.648975791433892,0.8258293838862559,0.7267987486965589,0.6866285533265041,0.5954510218476925,0.6453196287746475
11,0.345289440062784,0.8478422619047619,0.861741181321376,0.8072161156095174,1.1598428574113129,0.7479108635097493,0.6637269165225074,0.6395961887906847,0.5271565495207667,0.6021897810218978,0.5621805792163543,0.6532710280373831,0.8281990521327014,0.7304075235109718,0.7017380854065368,0.6119761892243912,0.6516615526565961
12,0.3375996622212586,0.8549107142857143,0.8666930343277611,0.8145311673464598,1.1195985022361563,0.7447771587743732,0.6740351306576668,0.6414173363041059,0.515850144092219,0.6532846715328468,0.5764895330112721,0.6439742410303588,0.8293838862559242,0.7250129466597618,0.7065584279758277,0.635862511681669,0.6577262334808864
13,0.32084721247000353,0.8633928571428572,0.8752101525609758,0.8252273880568897,1.181329736470512,0.7423398328690808,0.6672076648523944,0.6347980907628475,0.5028248587570622,0.6496350364963503,0.5668789808917197,0.6453110492107706,0.8234597156398105,0.7235814679854242,0.7379359664623051,0.6294931591197009,0.6510028778076209
14,0.31911709886044265,0.8611607142857143,0.8739223144983,0.8221152932029199,1.2153013134401156,0.7392061281337048,0.6625652063327526,0.6365680322798632,0.5348101265822784,0.6167883211678832,0.5728813559322034,0.6357798165137615,0.8210900473933649,0.7166494312306101,0.7484199060896596,0.6189228991143331,0.6495666193063079
15,0.30749886302011353,0.8663690476190476,0.8808965968328955,0.8288931088931714,1.297129178113592,0.754874651810585,0.6613284802873739,0.6474342526429828,0.5735294117647058,0.5693430656934306,0.5714285714285714,0.6598837209302325,0.806872037914692,0.7260127931769723,0.7375176036075293,0.6038797624359149,0.6543813664651783
