epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_severe_precision,val_severe_recall,val_severe_f1,val_pathological_precision,val_pathological_recall,val_pathological_f1,val_log_loss,val_checkpoint_score,val_early_stop_score
1,0.877573957745458,0.7281396713615024,0.560761911489006,0.45803050930909456,0.6377171361169149,0.7954856361149111,0.7061044346535766,0.5632264460831368,0.35064935064935066,0.8571428571428571,0.4976958525345622,0.4120734908136483,0.8722222222222222,0.5597147950089126,0.5013150328999844,0.6782901392809833,0.6346654403683567
2,0.6257276609190193,0.8436032863849765,0.7144524798606672,0.6279218116328601,0.5563149911577007,0.874829001367989,0.75800651073662,0.6820288854901522,0.5529411764705883,0.746031746031746,0.6351351351351351,0.5575539568345323,0.8611111111111112,0.6768558951965066,0.3140867564974508,0.7079019741402494,0.7200176981133861
3,0.5274144938923944,0.8838028169014085,0.7780380771283243,0.7061948006079106,0.6454447750537242,0.8543091655266758,0.701513139890675,0.6405783435486406,0.6842105263157895,0.4126984126984127,0.5148514851485149,0.51875,0.9222222222222223,0.664,0.34242604155657247,0.5415756124194363,0.6710457417196578
4,0.4441304394686726,0.9047828638497653,0.8160505835636732,0.7526770278213163,0.6014460340860808,0.899452804377565,0.7426528807184033,0.7051502573428036,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6428571428571429,0.85,0.7320574162679426,0.2502305966353161,0.6609891990408129,0.7239015690306034
5,0.37769639444812925,0.9209213615023474,0.8550737277711112,0.796072884677503,0.6853791068367935,0.8857729138166894,0.7361297626508234,0.6703554877117894,0.5052631578947369,0.7619047619047619,0.6075949367088608,0.611336032388664,0.8388888888888889,0.7072599531615925,0.30721859522074874,0.6998624509164044,0.7032426251813064
6,0.3048047432894578,0.931924882629108,0.8809482203075246,0.8264241829944582,0.7777681262060367,0.8919288645690835,0.7248467716486436,0.683159811649262,0.5833333333333334,0.5555555555555556,0.5691056910569106,0.624,0.8666666666666667,0.7255813953488373,0.2956008924929517,0.6183221838682533,0.7040032916489528
7,0.2242976409501173,0.9467429577464789,0.9169127146166461,0.8676332907710093,0.8832622327524583,0.9035567715458276,0.726236985987376,0.6934011270846829,0.5588235294117647,0.6031746031746031,0.5801526717557252,0.6755555555555556,0.8444444444444444,0.7506172839506173,0.2972111729297929,0.6400769016644541,0.7098190565360294
8,0.18853127937589034,0.9568661971830986,0.9295537955776877,0.8893738904204077,1.005541271647622,0.9008207934336525,0.6790360503309021,0.6660992324239583,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6945812807881774,0.7833333333333333,0.7362924281984334,0.3272227391604656,0.6023603898843055,0.6725676413774302
9,0.16225278028396303,0.9637617370892019,0.9369328183550453,0.9082200152206098,1.1168835885354882,0.9117647058823529,0.7039081563262531,0.6934492211482458,0.5737704918032787,0.5555555555555556,0.5645161290322581,0.7272727272727273,0.8,0.7619047619047619,0.3249159803435984,0.6150449521974088,0.6986786887372495
10,0.13662393186722352,0.96875,0.9488638610685097,0.919038339804595,1.1538719273686393,0.9097127222982216,0.717927129783604,0.6960836310787434,0.5555555555555556,0.6349206349206349,0.5925925925925926,0.7142857142857143,0.8055555555555556,0.7571801566579635,0.3562425769410706,0.6531725225428398,0.7070053804311737
11,0.12177172192359265,0.9740316901408451,0.9583757038911584,0.9320484091829977,1.2107900599206933,0.9097127222982216,0.718662079816526,0.7058465896076619,0.6363636363636364,0.5555555555555556,0.5932203389830508,0.6971153846153846,0.8055555555555556,0.7474226804123711,0.3595204947322782,0.6276512630750448,0.712254334712094
12,0.11334445651351724,0.9776995305164319,0.966446620381407,0.9407314339935158,1.2783144858768722,0.9124487004103967,0.6961072093677397,0.6880712463148253,0.5522388059701493,0.5873015873015873,0.5692307692307692,0.7446808510638298,0.7777777777777778,0.7608695652173914,0.3703472524603835,0.6246989389997608,0.6920892278412825
13,0.09565227519242014,0.9784330985915493,0.9680955751424349,0.9437902108438188,1.3779471609554126,0.9124487004103967,0.6935182169191529,0.6922719567898784,0.5873015873015873,0.5873015873015873,0.5873015873015873,0.7417582417582418,0.75,0.7458563535911602,0.38218938994113694,0.6295389871227586,0.6928950868545156
14,0.08572670771164312,0.9806338028169014,0.9680688576997541,0.9500400257971225,1.4429232605588693,0.9097127222982216,0.6844172179585596,0.6737722264765894,0.527027027027027,0.6190476190476191,0.5693430656934306,0.7486338797814208,0.7611111111111111,0.7548209366391184,0.41279402280505856,0.6306403219770541,0.6790947222175745
15,0.11592314426733635,0.9800469483568075,0.9576343471555502,0.9441965037151033,1.4066665000590386,0.9151846785225718,0.725626167903859,0.7155588261205802,0.6271186440677966,0.5873015873015873,0.6065573770491803,0.7236180904522613,0.8,0.7598944591029023,0.40841031337301764,0.6454318986227384,0.7205924970122196
