epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_severe_precision,val_severe_recall,val_severe_f1,val_pathological_precision,val_pathological_recall,val_pathological_f1,val_log_loss,val_checkpoint_score,val_early_stop_score
1,0.7932935855927922,0.6570684523809524,0.6168552149979348,0.5435539261135154,0.7676663184564426,0.7594011142061281,0.6609249732834945,0.6533614379608136,0.6306306306306306,0.5109489051094891,0.5645161290322581,0.6628787878787878,0.8293838862559242,0.7368421052631579,0.5559027606330318,0.5828184312952474,0.657143205622154
2,0.6406080718906153,0.7485119047619048,0.7138890120979688,0.6616755418343461,0.6730887207480194,0.7555710306406686,0.6976139022313554,0.6710554364394236,0.6226415094339622,0.6021897810218978,0.6122448979591837,0.6410912190963342,0.8909952606635071,0.7456618740704016,0.5578932281906172,0.6375615155816159,0.6843346693353896
3,0.578182782516593,0.7703125,0.7438389670429291,0.6970690355672904,0.6616443985019885,0.7301532033426184,0.6950958826398409,0.6465223474321189,0.5242165242165242,0.6715328467153284,0.5888,0.6120826709062003,0.9123222748815166,0.7326355851569933,0.593778923862801,0.6505601423647569,0.6708091150359798
4,0.5032749900505656,0.7949404761904761,0.7881992857266701,0.738707621274313,0.7532648025780999,0.7844707520891365,0.6860171960588639,0.6794101713974579,0.6401673640167364,0.5583941605839416,0.5964912280701754,0.7031093279839519,0.830568720379147,0.7615426398696361,0.49372708753273803,0.6176462367131877,0.6827136837281609
5,0.44503965608420826,0.819047619047619,0.8172304536375785,0.7714401094606251,0.7594278486326212,0.754874651810585,0.6958236122129854,0.6627769580040956,0.5612903225806452,0.635036496350365,0.5958904109589042,0.6475694444444444,0.8838862559241706,0.7474949899799599,0.5768881021597617,0.6429554905057699,0.6793002851085406
6,0.39220021606556005,0.8366815476190477,0.8427510009954305,0.7980264993027274,0.8658825854737114,0.7855153203342619,0.6814629253708423,0.6752790918318713,0.6188524590163934,0.551094890510949,0.583011583011583,0.7099080694586313,0.8234597156398105,0.7624794295117937,0.5233275761137518,0.6099845108722706,0.6783710086013568
7,0.3451923895095076,0.8533482142857143,0.8611458101347438,0.8217209484115934,0.9297810108050663,0.7670612813370473,0.678239238950253,0.6548025563095066,0.531055900621118,0.6240875912408759,0.5738255033557047,0.6878048780487804,0.8353080568720379,0.7544141252006421,0.6043656521992217,0.6284953918251847,0.6665208976298798
8,0.28449843146261716,0.8763392857142858,0.8857971926747297,0.8512050591875834,1.07396324763391,0.7862116991643454,0.6771691390326692,0.6764467839369129,0.6455696202531646,0.5583941605839416,0.598825831702544,0.7154989384288747,0.7985781990521327,0.7547592385218365,0.6074014718607754,0.6158675987239319,0.676807961484791
9,0.2494665510331591,0.8912946428571429,0.9032078844057455,0.8701018314966292,1.1040098202261752,0.7816852367688022,0.6861793010290306,0.675906566635155,0.6147859922178989,0.5766423357664233,0.5951035781544256,0.7005988023952096,0.8317535545023697,0.7605633802816901,0.6566665301942985,0.6230178855896917,0.6810429338320928
10,0.23069076521233434,0.8970238095238096,0.910460420683175,0.8796777617414276,1.229480121876204,0.7889972144846796,0.6738637560514684,0.6702827945933625,0.5946969696969697,0.572992700729927,0.5836431226765799,0.7335526315789473,0.792654028436019,0.7619589977220956,0.6815764896629838,0.6152875360535857,0.6720732753224155
11,0.20775745342973442,0.9098214285714286,0.9180911103913346,0.8912954841271352,1.2652237346411415,0.775766016713092,0.6814876275616841,0.6707106328535372,0.6144578313253012,0.5583941605839416,0.5850860420650096,0.6875,0.8341232227488151,0.7537473233404711,0.7287790270001426,0.6121491188036763,0.6760991302076107
12,0.17874139442019873,0.9226190476190477,0.9326372571414714,0.9076235037995867,1.2887251587133222,0.7903899721448467,0.6823024841361672,0.6756457144697577,0.5947955390334573,0.583941605839416,0.5893186003683242,0.7291220556745182,0.806872037914692,0.766029246344207,0.7310920983977912,0.6232988518570617,0.6789740993029625
13,0.1741993514022657,0.9273809523809524,0.9351438045481638,0.9136135934728435,1.392257789715419,0.7935236768802229,0.6768325274811874,0.6781601495535915,0.6367521367521367,0.5437956204379562,0.5866141732283464,0.7342047930283224,0.7985781990521327,0.7650397275822929,0.7529044075428737,0.6079805458673271,0.6774963385173894
14,0.15733917907235168,0.9314732142857143,0.9404465868052357,0.9177470077450426,1.4621595643190952,0.7938718662952646,0.6704769164593628,0.675617071774543,0.6431718061674009,0.5328467153284672,0.5828343313373253,0.7393258426966293,0.7796208530805687,0.7589388696655133,0.7770825275103486,0.601423730846076,0.6730469941169529
15,0.15507741345403095,0.9336309523809524,0.9400441905609348,0.9204155222837174,1.475127788099738,0.7855153203342619,0.6677956426648763,0.6686404951525083,0.6271186440677966,0.5401459854014599,0.5803921568627451,0.7229437229437229,0.7914691943127962,0.755656108597285,0.8020501076644944,0.6014363616696742,0.6682180689086923
