epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_stenosis_precision,val_stenosis_recall,val_recall_f1,val_log_loss,val_checkpoint_score,val_early_stop_score
1,0.5818671076103699,0.6505813953488372,0.6867181071037007,0.6089012682087281,0.5229014486024021,0.6368866328257191,0.7412280701754386,0.62005255513358,0.37997587454764775,0.9333333333333333,0.5400771538791256,0.6728742861370008,0.7215996809869235,0.6806403126545093
2,0.4916240694217904,0.7430232558139535,0.7612190912526345,0.6940753045404209,0.5500287669702936,0.8,0.7301267056530214,0.723815223044979,0.5576923076923077,0.6014814814814815,0.5787598004276551,0.4093132710846904,0.6160151046207242,0.7269709643490002
3,0.44644503451363987,0.7776889534883721,0.7915277599996835,0.728784362522689,0.4916357911278552,0.657191201353638,0.748650097465887,0.6365630944262238,0.39276649746192893,0.917037037037037,0.5499777876499333,0.6418037812390223,0.7208148203491652,0.6926065959460554
4,0.40807590432638347,0.8042151162790697,0.8108637647171437,0.7549430913335013,0.4979051562634418,0.7634517766497462,0.7596296296296297,0.7128964441216636,0.48846153846153845,0.7525925925925926,0.5924198250728863,0.4686582412257382,0.6795350643309828,0.7362630368756466
5,0.3770547814320686,0.8272529069767441,0.831812090199419,0.7797365404831734,0.5283225646705797,0.7878172588832487,0.7623830409356724,0.730581631678203,0.5261437908496732,0.7155555555555555,0.6064030131826742,0.4490326774595542,0.6732341134491263,0.7464823363069377
6,0.3612475935109826,0.8403343023255814,0.8445946946233291,0.7945983311114403,0.5623429921261853,0.7668358714043993,0.7633869395711501,0.7166124132140783,0.49324324324324326,0.7570370370370371,0.5973115137346581,0.5149985136786595,0.6840099811737667,0.7399996763926142
7,0.3334463059209114,0.8534883720930233,0.8590261049738231,0.8100525057312594,0.5783180836001931,0.7810490693739425,0.7600828460038986,0.7250063250911294,0.514799154334038,0.7214814814814815,0.6008636644046884,0.4857444411152586,0.6723481765481827,0.742544585547514
8,0.2982853689339272,0.8728924418604651,0.8750864311267526,0.8320903508165238,0.6761140748858452,0.7766497461928934,0.740024366471735,0.7135389738576223,0.5083986562150056,0.6725925925925926,0.5790816326530612,0.5149456056988023,0.641606265748803,0.7267816701646787
9,0.2821652192449154,0.8782703488372093,0.8809790888931431,0.8387356686103632,0.6946371870458933,0.7939086294416243,0.7392153996101365,0.7244014298208712,0.5414572864321608,0.6385185185185185,0.5859959211420802,0.487443371742719,0.6331949923152749,0.7318084147155038
10,0.26532618544649245,0.8880087209302325,0.8939935250873645,0.8512959584960362,0.7483444675223274,0.8010152284263959,0.7375633528265106,0.7282624334864307,0.5579227696404794,0.6207407407407407,0.5876577840112202,0.48900574207264963,0.6278985790290125,0.7329128931564707
11,0.262361259619857,0.8897529069767441,0.8957147142584433,0.8534149232620952,0.7223999464213092,0.7793570219966159,0.7459502923976609,0.7179280110752192,0.5127635960044395,0.6844444444444444,0.5862944162436549,0.5335576156552678,0.6501325207308504,0.73193915173644
12,0.25271569337089395,0.8952761627906977,0.901043993138581,0.8600830678457785,0.8767240363379623,0.8064297800338409,0.7337719298245614,0.7298910014164958,0.5728429985855729,0.6,0.5861070911722142,0.5384738949979536,0.6198708131751338,0.7318314656205286
13,0.23793335919116818,0.9042877906976744,0.9078881061471291,0.8707788218745794,0.827166802523415,0.7922165820642978,0.7402046783625731,0.7237638287843337,0.5377008652657602,0.6444444444444445,0.5862533692722371,0.5536743289643337,0.6354648107585396,0.7319842535734533
14,0.22260360835596574,0.9078488372093023,0.9144392110112474,0.8758960818604685,0.858052797111889,0.8010152284263959,0.7391276803118909,0.7290384274703641,0.5574636723910171,0.6251851851851852,0.5893854748603352,0.5512536747629547,0.6304616198336546,0.7340830538911275
15,0.22340534623972205,0.9076308139534883,0.9112480299314498,0.874991922060884,0.9240288714336171,0.8043993231810491,0.738192007797271,0.7308132387706856,0.5659863945578232,0.6162962962962963,0.5900709219858156,0.5665008814783896,0.6277768361294997,0.7345026232839783
