epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_stenosis_precision,val_stenosis_recall,val_recall_f1,val_log_loss,val_checkpoint_score,val_early_stop_score
1,0.5493425743680604,0.7150821596244131,0.7195289468732359,0.6021012412752892,0.4501347860115008,0.7913816689466484,0.7712081816605998,0.6689908790808263,0.34096692111959287,0.7444444444444445,0.4677137870855148,0.39779584194485623,0.6264302423475115,0.7200995303707131
2,0.4497432293186725,0.7940140845070423,0.7971774446465534,0.6824534540720653,0.5649096621391548,0.86593707250342,0.7086583463338534,0.7009001636661212,0.45918367346938777,0.5,0.4787234042553192,0.27837450478386544,0.5312670578903053,0.7047792549999873
3,0.42421235941665275,0.8174882629107981,0.8101000439064165,0.7055974205386665,0.41778913791076105,0.8173734610123119,0.8003553475472353,0.699778268122524,0.3814713896457766,0.7777777777777778,0.5118829981718465,0.36283608095394937,0.6628942190366898,0.7500668078348796
4,0.36889961337399596,0.849618544600939,0.8408906429805432,0.744413031818463,0.44203251265957644,0.7318741450068399,0.8089096897209221,0.6388485581770518,0.3037037037037037,0.9111111111111111,0.45555555555555555,0.597584851084195,0.6932634194256659,0.723879123948987
5,0.346452834740491,0.8593016431924883,0.8490160258420623,0.7566396459624922,0.5467854120071707,0.8734610123119015,0.7726425723695614,0.7402411559350195,0.48936170212765956,0.6388888888888888,0.5542168674698795,0.288216031251341,0.6252853004831976,0.7564418641522904
6,0.3362374755208481,0.8772007042253521,0.8636726441165823,0.7798130720357308,0.4325661813348491,0.8248974008207934,0.8118088056855608,0.7101012823730253,0.39502762430939226,0.7944444444444444,0.5276752767527675,0.4118335349329829,0.6779448843716595,0.760955044029293
7,0.31102403736030554,0.8882042253521126,0.8715455058646429,0.7946943804249657,0.4550796100913092,0.8645690834473324,0.8057765643959092,0.7446040372670808,0.46785714285714286,0.7277777777777777,0.5695652173913044,0.3261130601926893,0.6699217034933985,0.775190300831495
8,0.28226511126183007,0.8962734741784038,0.8851635514018692,0.8081849100982199,0.6327381809656133,0.8987688098495212,0.7631955278211129,0.764457429993425,0.5898876404494382,0.5833333333333334,0.5865921787709497,0.26724596015317403,0.6209388565737847,0.763826478907269
9,0.2672146260213684,0.9068368544600939,0.8881298616445492,0.8220389755596755,0.5572346692086897,0.8905608755129959,0.7895562489166233,0.7663342283595448,0.5462962962962963,0.6555555555555556,0.5959595959595959,0.28837350228503744,0.6535509804230553,0.7779452386380841
10,0.2567171375201622,0.912118544600939,0.9032279056639277,0.8330311881770176,0.5065450547352209,0.8700410396716827,0.7945701161379788,0.745846142585273,0.4807692307692308,0.6944444444444444,0.5681818181818182,0.31869422659607666,0.6552232695368422,0.7702081293616259
11,0.23997288001395167,0.9109448356807511,0.9045576428526626,0.8318318367143207,0.6276577994604525,0.8885088919288646,0.7740596290518287,0.7572811281916524,0.5410628019323671,0.6222222222222222,0.5788113695090439,0.2994451715749201,0.6314505057452046,0.7656703786217405
12,0.22496473038035658,0.9210680751173709,0.9108464529887725,0.8470250164238122,0.7180176235113686,0.8980848153214774,0.7604177500433351,0.7622943217021908,0.5875706214689266,0.5777777777777777,0.5826330532212886,0.2946262170544565,0.6167416392330574,0.7613560358727629
13,0.22072786171461495,0.9223884976525821,0.9121017060779024,0.8491660376103516,0.6941727626910777,0.8878248974008208,0.7736696134512047,0.7563254089563888,0.5384615384615384,0.6222222222222222,0.5773195876288659,0.3128417470924263,0.6306648417139435,0.7649975112037968
14,0.22832991439027125,0.9253227699530516,0.916780875619394,0.854405468137788,0.6533895474737549,0.8878248974008208,0.7903839486912809,0.7635060226228099,0.536036036036036,0.6611111111111111,0.5920398009950248,0.3301412727689681,0.6537367780848117,0.7769449856570454
15,0.2216455706967994,0.9254694835680751,0.9138634510443455,0.8539323169382808,0.6665881726987629,0.8878248974008208,0.7784451378055122,0.7584308604958572,0.5377358490566038,0.6333333333333333,0.5816326530612245,0.3216893923370165,0.6372857417184635,0.7684379991506847
