model,best_threshold,val_threshold_threshold,val_threshold_precision,val_threshold_recall,val_threshold_f1,val_threshold_balanced_accuracy,val_threshold_score
spinal_canal_stenosis,0.13999999999999999,0.13999999999999999,0.26348228043143296,0.95,0.41254523522316044,0.7885725429017161,1.250279444531219
neural_foraminal_narrowing,0.3199999999999999,0.3199999999999999,0.3311458859162039,0.9718518518518519,0.4939759036144578,0.6953557504873294,1.2691847653772987
subarticular_stenosis,0.13,0.13,0.500615763546798,0.9632701421800948,0.6588330632090762,0.7816843807547417,1.3233995031710493
