epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_severe_recall,val_log_loss
1,1.0520959932339584,0.6943955399061033,0.44937169574946706,0.39755263797946827,0.8776644595711404,0.6388508891928865,0.4784480268099613,0.34674904656986366,0.0,0.724778856084306
2,0.9501261430237214,0.7473591549295775,0.4970294845607528,0.44424615725016087,0.8148281377078979,0.8372093023255814,0.5035744286914333,0.4835269995517346,0.3968253968253968,0.4349362118015277
3,0.8920571424171958,0.7491197183098591,0.5254787637190192,0.4626290536721491,0.7036115906931327,0.7291381668946648,0.570201538220259,0.46406117030267263,0.5079365079365079,0.5436621726646683
4,0.8454722603302047,0.7568955399061033,0.5588219194431487,0.48745314941449647,0.6731354845878853,0.7154582763337893,0.6176631192231815,0.5020481382897489,0.4126984126984127,0.6207787130121676
5,0.8158372993200598,0.7715669014084507,0.5828702942455083,0.5110586289153565,0.6985635753496768,0.7325581395348837,0.6136035917627182,0.4792942170766518,0.7142857142857143,0.54825407079241
6,0.8242190147229763,0.7838908450704225,0.5822945016820765,0.5155165761848204,1.3072664154976639,0.8803009575923393,0.4927990770424468,0.5330770777483574,0.25396825396825395,0.38136128554951976
7,0.7878487710381897,0.7919600938967136,0.5998032323296586,0.5362236836485831,0.6742937578896134,0.7735978112175103,0.6006351365165717,0.5227337325152935,0.4444444444444444,0.467228464697206
8,0.7697195297045887,0.7890258215962441,0.6330065621983095,0.5566464559771499,0.6546308892013355,0.8269493844049247,0.6010291205299005,0.5196141319211357,0.6349206349206349,0.39882787494294664
9,0.7527040240700256,0.8186619718309859,0.6436188657076446,0.5680461539599543,0.718509990234621,0.8269493844049247,0.5825220310399718,0.5439476269474809,0.3968253968253968,0.37927988003606117
10,0.7251004039226843,0.8207159624413145,0.6513064393064009,0.5742997773745119,0.6935573450089643,0.8180574555403557,0.6021488478586762,0.5520361065837572,0.42857142857142855,0.38855885400066587
