epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_severe_recall,val_log_loss
1,1.0918527669538327,0.6022793263646922,0.40278669780072,0.3744357025671849,1.1538652009669497,0.6135363790186126,0.4693118844379829,0.4171394360621587,0.06569343065693431,0.7784861265396305
2,0.9647949459453078,0.6737078977932637,0.47497350750045303,0.4443192822803439,0.90975749173947,0.7434856175972927,0.4864617336175032,0.49825226927977645,0.1678832116788321,0.5908201164389355
3,0.913858148313704,0.7047038327526133,0.5139155584379952,0.49011919513249397,0.8468641811568927,0.7725888324873097,0.5279710063516139,0.5402431927254389,0.291970802919708,0.5364091223208058
4,0.8817794107670844,0.7227061556329849,0.5309263742266072,0.5088901957359367,0.8357863320816189,0.7241962774957699,0.5047310176371653,0.476868617085439,0.072992700729927,0.5856799269134495
5,0.8562507462903044,0.7239401858304297,0.5632816906566583,0.5350538602423803,0.8201632812039299,0.7197969543147208,0.5451012502175944,0.5194094296417888,0.1897810218978102,0.5966735487803388
6,0.8420307287874953,0.7261178861788617,0.5594923546767555,0.5349120952156374,0.8184976172527888,0.7472081218274111,0.5349345265043052,0.523439643681055,0.1678832116788321,0.5499234176843456
7,0.8245921064683093,0.7279326364692218,0.567621966434014,0.5417335211552259,0.7535180767276364,0.7160744500846024,0.5965449344106655,0.5440161552532614,0.48905109489051096,0.6075141492137629
8,0.815061003938923,0.7311265969802555,0.5916657864746234,0.5612914625643286,0.7621633423110958,0.7218274111675127,0.6265530169411807,0.5608496796822405,0.5693430656934306,0.6177073141936109
9,0.7940993991428413,0.7468786295005807,0.6107102112245778,0.5794095632587418,0.9043435997870166,0.6693739424703892,0.5564475457495665,0.5116807606083421,0.23357664233576642,0.664305593413172
10,0.7974414452477753,0.7465156794425087,0.6037384462534444,0.577843097814465,0.8056363563095857,0.7123519458544839,0.5778417390222542,0.5465542207512006,0.32116788321167883,0.6144273020331834
