epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_severe_recall,val_log_loss
1,0.8771371415683201,0.6538690476190476,0.5570870507325026,0.5244870648837027,0.8336309926444275,0.7496518105849582,0.6098508826234231,0.6131378597692748,0.4635036496350365,0.5685623252732155
2,0.7458199191306318,0.7218005952380953,0.6504472651850014,0.6193484095606139,0.9952717067409192,0.7701949860724234,0.5930503240205063,0.6178278273073381,0.42700729927007297,0.5796602731650595
3,0.7066965889185667,0.7392113095238095,0.6810142597633083,0.6465992398898123,0.7045104960213132,0.7559192200557103,0.6774062093427323,0.6529329509212507,0.6642335766423357,0.5513481121576956
4,0.6961194418370724,0.7447916666666666,0.6818803030911291,0.652243929884977,0.7004032338396088,0.661908077994429,0.6683568723995451,0.6011743607543677,0.708029197080292,0.7194155274626474
5,0.6795256171907698,0.7526041666666666,0.693540669661788,0.6633350770794911,0.7161802329268296,0.7792479108635098,0.6599965952399535,0.668992055134043,0.5218978102189781,0.5016550042527133
6,0.670972475267592,0.7589285714285714,0.694366716998689,0.6695573138296864,0.741236765383844,0.7761142061281338,0.6602100747051839,0.6614112490489298,0.5583941605839416,0.5237390401379087
7,0.6587740255963235,0.7590029761904762,0.7038994828835885,0.6744995746834069,0.6788641984125697,0.7681058495821727,0.6875591507598955,0.6679430952923946,0.6167883211678832,0.5433565593716995
8,0.644443812682515,0.7645833333333333,0.7142522410441212,0.6817115490938157,0.6784511513094882,0.7486072423398329,0.6914056834740071,0.6539638262391742,0.6751824817518248,0.5590701794320642
9,0.6361316272545429,0.7676339285714285,0.7127783076285238,0.6834512598061236,0.6826808132999123,0.7618384401114207,0.690488797758516,0.6640572813902051,0.6240875912408759,0.5585865584313687
10,0.6283920586463951,0.7716517857142857,0.7261523373525344,0.6921006675844471,0.6493643928205071,0.6974233983286908,0.7000684109242282,0.6257857560271594,0.7773722627737226,0.6508890226233129
